id,title,title_clean,text_combined,score,review_count,price,trend_score,image_url,local_image_path,source
7429141b1d1dcb911c534267555ba192fa1250e424fa6529fc4fc91c47a0d29a,"JewelStop 14k Solid Yellow Gold 5 mm Super Flexible Silky Imperial Herringbone Bracelet, Lobster Claw-7"" 8""",jewelstop solid yellow gold mm super flexible silky imperial herringbone bracelet lobster,jewelstop solid yellow gold mm super flexible silky imperial herringbone bracelet lobster,4.0,0,289.0,0.3835,https://m.media-amazon.com/images/I/31N1+tX2o-L._AC_.jpg,data/images/gold\gold_1.jpg,huggingface
a0f1de834a52321fd0509d4f21d0c9fcb2ad086c7af87ef28d0ad7e8b8957619,Silvershake Bezel Set Cabochon Gemstone Surrounded by Twisted Rope White Gold Plated 925 Sterling Silver Victorian Style Ring,silvershake bezel set cabochon gemstone surrounded twisted rope white gold plated sterling silver victorian style ring,silvershake bezel set cabochon gemstone surrounded twisted rope white gold plated sterling silver victorian style ring,4.6,0,20.99,0.4506,https://m.media-amazon.com/images/I/51OID5vEtiL._AC_.jpg,data/images/gold\gold_2.jpg,huggingface
3e8cc691b36cf3fa6d7627c72fd4faa32f4692f5ff27c6bfa3f8fd05b0341de7,CaliRoseJewelry 10k Gold Football Pendant,calirosejewelry gold football pendant,calirosejewelry gold football pendant,4.8,0,69.99,0.477,https://m.media-amazon.com/images/I/41W2KnYNUQL._AC_.jpg,data/images/gold\gold_3.jpg,huggingface
6bb53de90a0b8a49fcb3d2d2c2791f9332d2ccd04de59f7485deca8619778db5,14k REAL Yellow Gold 2.5mm Thickness Designer Flat Rectangular Earrings (34 x 15 mm),real yellow gold thickness designer flat rectangular earring x mm,real yellow gold thickness designer flat rectangular earring x mm,5.0,0,125.0,0.5036,https://m.media-amazon.com/images/I/31RNe36+5NL._AC_.jpg,data/images/gold\gold_4.jpg,huggingface
d3b719a979f0e1ac9009d22271a614b5c57925e34d0046c034d58c435f45428c,"1.10 Carat Princess Cut/Shape 14K White Gold Classic Prong Set Diamond Engagement Ring with a 0.55 cwt, I-J Color, Eye Clean Clarity Center Stone",carat princess white gold classic prong set diamond engagement ring cwt color eye clean clarity center stone,carat princess white gold classic prong set diamond engagement ring cwt color eye clean clarity center stone,4.4,0,1653.0,0.4736,https://m.media-amazon.com/images/I/51NRH1pJQrL._AC_.jpg,data/images/gold\gold_5.jpg,huggingface
d4f5a6ef0f3b49ec5ed6874ff41b418ae16777dc192fbbb253166bbe081d456b,Rhinestone Initial Bracelet 18k Gold Stainless Steel Bangle Bracelet Adjustable Wrap Alphabet Crystal Bracelet Personalized Letter Bracelet Jewelry Gift for Women Girls,rhinestone initial bracelet gold stainless steel bangle bracelet adjustable wrap alphabet crystal bracelet personalized letter bracelet jewelry gift woman girl,rhinestone initial bracelet gold stainless steel bangle bracelet adjustable wrap alphabet crystal bracelet personalized letter bracelet jewelry gift woman girl,4.4,0,15.98,0.4254,https://m.media-amazon.com/images/I/51MlSUHD8VL._AC_.jpg,data/images/gold\gold_6.jpg,huggingface
edc890de1f49b529e45cff80ac002001a3529b539fa70d28b4534fb2b84404a6,"Gold Bracelets for Women, 14K Real Gold Plated Bracelets for Women Dainty Evil Eye Bracelets for Teen Girls Adjustable Box Chain Layered Trendy Gold Initial Handmade Charm Bracelets for Teen Girls",gold bracelet woman real gold plated bracelet woman dainty evil eye bracelet teen girl adjustable box chain layered trendy gold initial handmade charm bracelet teen girl,gold bracelet woman real gold plated bracelet woman dainty evil eye bracelet teen girl adjustable box chain layered trendy gold initial handmade charm bracelet teen girl,4.6,0,12.97,0.4503,https://m.media-amazon.com/images/I/41Y5akeKgGL._AC_.jpg,data/images/gold\gold_7.jpg,huggingface
d96746507bf6c60edaa7323046e7c919057f98201eb83e6144391065b56e06ca,Tommaso Design Emerald Cut Rainbow Mystic Topaz Pendant Necklace 14kt Gold,tommaso design emerald cut rainbow mystic topaz pendant necklace gold,tommaso design emerald cut rainbow mystic topaz pendant necklace gold,5.0,0,289.97,0.5085,https://m.media-amazon.com/images/I/41Bsw4OM5CL._AC_.jpg,data/images/gold\gold_8.jpg,huggingface
95f33ef125b418de6a436c903d511a55c399e56e1df589ebf6115f73e558b485,Mt.Rushmore Black Hills 10k Gold Butterfly Pendant,black hill gold butterfly pendant,black hill gold butterfly pendant,4.2,0,201.0,0.4059,https://m.media-amazon.com/images/I/41irqtsGiXL._AC_.jpg,data/images/gold\gold_9.jpg,huggingface
5e4e9f5af2b6356eb05d250bf9d45c9bf735945132ec958e740bd24cdd9c8114,Mr. Bling 14K Yellow Gold Palm Chain Necklace with Lobster Lock (2.5mm and 3mm),bling yellow gold palm chain necklace lobster lock,bling yellow gold palm chain necklace lobster lock,4.4,0,658.8,0.4443,https://m.media-amazon.com/images/I/41qtZuPbLhL._AC_.jpg,data/images/gold\gold_10.jpg,huggingface
